Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9960513326752222,0.996125518053994,0.9960513326752222,0.9960363634346943
Random Forest,0.9975320829220138,0.997583999174699,0.9975320829220138,0.9975226329504778
Support Vector Machine,0.9955577492596249,0.9956352533544467,0.9955577492596249,0.9955460696719567
